number,Title,Description,category,priority,resolver_team,Where I got the ticket from,hardness
321,How can I measure the execution time of a terminal process?,"I'm trying to measure the execution time of a process that I call via the command line (i.e., I want to find out how long it takes to for the process to finish). Is there any command that I can add to the command calling the process that will achieve this?",system performance,,system support,askubuntu,
322,How do I copy files that need root access with scp?,"I have an Ubuntu server to which I am connecting using SSH.
I need to upload files from my machine into
/var/www/
on the server, the files in
/var/www/
are owned by
root
.
Using PuTTY, after I log in, I have to type
sudo su
and my password first in order to be able to modify files in
/var/www/
.
But when I am copying files using WinSCP , I can't create create/modify files in
/var/www/
, because the user I'm connecting with does not have permissions on files in
/var/www/
and I can't say
sudo su
as I do in case of an ssh session.
Do you know how i could deal with this ?
If I was working on my local machine, I would call
gksudo nautilus
but in this case I only have terminal access to the machine.",general usage,,general support,askubuntu,
323,How can I see what ports are open on my machine?,"I would like to see what ports are open on my machine, e.g. what ports my machine is listening on. E.g. port 80 if I have installed a web server, and so on.
Is there any command for this?",networking,,network support,askubuntu,
324,Any way to check the clock speed of my processor?,"Is there any way to check at which clock speed my processor is running?
I have already tried
cat /proc/cpuinfo
but the clock speed I'm running isn't showing. I know Ubuntu 12.04 (Precise Pangolin) requires 700 MHz and VGA, but will an AMD Mobile Sempron work?",hardware,,hardware support,askubuntu,
325,How to disable the touchpad?,"I want my touchpad to be disabled when I use my mouse. How can I do that?
touchpad-indicator
has stopped working on 11.10. It used to work on 11.04. Gnome3 is not a solution as I don't like it and find it buggy.",hardware,,hardware support,askubuntu,
326,How can I find what video driver is in use on my system?,"I would like to try a different video display driver, but I'm not sure which one I'm currently using.
What's the simple way to see what driver my system is using currently?",installation,,installation support,askubuntu,
327,How to rename a file in Terminal?,"I have:
/home/user/my_static
/home/user/static/
How do I rename
my_static
to
static
and remove
static
(2)?",general usage,,general support,askubuntu,
328,Where are sudo's insults stored?,"For those who like humour,
sudo
can be configured to print a random more or less insulting or funny phrase instead of the neutral
Sorry, try again.
by adding the line below to
/etc/sudoers
(using the command
sudo visudo
, not editing manually!):
Defaults insults
Here are some examples:
[sudo] password for bytecommander: 
The more you drive -- the dumber you get.
[sudo] password for bytecommander: 
I've seen penguins that can type better than that.
[sudo] password for bytecommander: 
This mission is too important for me to allow you to jeopardize it.
[sudo] password for bytecommander: 
He has fallen in the water!
[sudo] password for bytecommander: 
Hold it up to the light --- not a brain in sight!
Now just for fun I'd like to read through all of them, but entering wrong passwords all day is not really the best method (delay after each attempt, only 2 messages per 3 attempts, abort after 3 attempts, ...).
So... where are these insults actually stored? Any plain text file I can directly read? Or hard coded strings in the source code?
How can I get a list of all available
sudo
insult messages?",user accounts,,system support,askubuntu,
329,How can I remove Amazon search results from the dash or disable the feature?,How can I disable Amazon search results in the Dash?,general usage,,general support,askubuntu,
330,How do you reset a USB device from the command line?,"Is it possible to reset the connection of a USB device, without physically disconnecting/connecting from the PC?
Specifically, my device is a digital camera. I'm using
gphoto2
, but lately I get ""device read errors"", so I'd like to try to do a software-reset of the connection.
From what I can tell, there are no kernel modules being loaded for the camera. The only one that looks related is
usbhid
.",general usage,,general support,askubuntu,
331,What PDF viewers are available for Ubuntu?,"Every second e-mail I get suggests to download Adobe Acrobat reader, but
adobe.com doesn’t provide a Linux version
.
Which PDF Viewer are there available for Ubuntu?
I’m fine with partial solutions, a perfect match however would not only display PDF files, but also be able to:
stageless zoom (not just predefined steps)
open files in tabs
display comments added with other PDF software
add and save comments
display forms filled in with other PDF software
fill in and save PDF forms
create and save bookmarks
have a presentation mode",general usage,,general support,askubuntu,
332,tracker-store and tracker-miner-fs eating up my CPU on every startup,"Whenever I start my laptop the process
tracker-store
and
tracker-miner-fs
eats up my CPU between 30-40% for 10-15 minutes. I am on ubuntu 12.04.
What does these processes do? How to get rid of  processes?",system performance,,system support,askubuntu,
333,How do I stop Apache2 from automatically starting on boot?,How do I stop Apache2 from automatically starting on boot? I can't seem to find an option that disables the automatic start-up when I turn on the machine.,system settings,,desktop support,askubuntu,
334,How do I start/stop mysql server?,"I tried to find in some articles describing how to correctly start & stop mysql server.
I found this link:
How to start/stop MySql server on Ubuntu 8.04 | Abhi's Blogging World
I ran this command:
/etc/init.d/mysql start
but I see this error
ERROR 1045 (28000) Access denied for user....
After I tried this command:
sudo /etc/init.d/mysql start
I entered my password, and again I see the same error.
Next command:
sudo /etc/init.d/mysql - root -p start
results in:
ERROR 1049 (42000) Unknown database 'start'.
And when I run this command:
sudo service mysql start
MySQL server success started. Cool!
So, what's wrong with the other commands? Why do they result in error?",general usage,,general support,askubuntu,
335,Can I restart the KDE Plasma Desktop without logging out?,"I'm just talking about the standard KDE desktop. After a while (many days) of running the task bar stops working properly. This is due to some sort of undiagnosed bug but that's really not my boggle at the moment. It's fixed as soon as I log out and in again.
I have to close everything and ongoing processes like virtual machines have to shut down. It's a big pain. It typically means I put up with a bit of flickering for many days.
Is there a way to just reload the desktop without bombing all the running applications?",system settings,,desktop support,askubuntu,
336,Uninstall GRUB and use Windows bootloader,"I have Windows 8 pre-installed, and then I installed GRUB with Ubuntu. Ubuntu is not my thing, so now I want to remove it along with GRUB. From what I have learned, with UEFI, GRUB does not overwrite the windows bootloader in the EFI partition and is stored elsewhere. How would I remove GRUB and make my PC use the Windows bootloader instead? It should be noted that I created a separate /boot partition when installing Ubuntu.",installation,,installation support,askubuntu,
337,How to resize an image through the terminal?,"I have Ubuntu 10.04. I have converted image through terminal using the following command:
convert myfigure.png myfigure.jpg
But I want to resize the height and width of the converted image. Is there any way to do this?",general usage,,general support,askubuntu,
338,How do I make my systemd service run via specific user and start on boot?,"I just upgraded from Ubuntu server 14 to version 15. I had trouble getting my upstart script working after the upgrade, and read that systemd is the new default. I'm far from a linux expert, so please go easy on me :-)
Here is what my upstart script was before:
description ""NZBGet upstart script""

setuid robert
setgid robert

start on runlevel [2345]
stop on runlevel [016]

respawn

expect fork

script
    exec nzbget -D
end script

pre-stop script
    exec nzbget -Q
end script
Based on the
upstart to systemd wiki page
, I used the tables provided there to map things as closely as I could in my new systemd service file:
[Unit]
Description=NZBGet Service

[Service]
Type=forking
ExecStart=/usr/local/bin/nzbget -D
ExecStop=/usr/local/bin/nzbget -Q
Restart=on-failure
This file is located at
/home/robert/.config/systemd/user/nzbget.service
. To start the service manually, I've been doing:
$ systemctl --user start nzbget
This works great. However, when I log out of my SSH session, the service shuts down. Also, it does not start on bootup or user login. I want it to behave the same as it did as an upstart service: I want it to start at boot, run constantly, and as a specific user.
What do I need to do to get this configuration?",system settings,,desktop support,askubuntu,
